Series	Platform
GSE41188	GPL10123
GSE41188	GPL10152
GSE41581	GPL16131
GSE42171	GPL6801
GSE42400	GPL16302
GSE42570	GPL571
GSE42570	GPL8882
GSE42570	GPL13135
GSE42570	GPL16333
GSE43092	GPL6986
GSE43092	GPL13135
GSE43454	GPL11157
GSE4838	GPL3749
GSE44587	GPL16694
GSE4886	GPL3514
GSE45287	GPL8841
GSE46068	GPL6359
GSE46068	GPL17020
GSE46828	GPL8888
GSE47148	GPL8687
GSE47646	GPL6801
GSE47985	GPL8841
GSE5347	GPL1266
GSE5347	GPL2641
GSE5347	GPL3896
GSE5347	GPL4012
GSE48386	GPL8882
GSE48568	GPL11068
GSE48941	GPL13829
GSE49045	GPL6801
GSE49452	GPL8882
GSE49666	GPL6801
GSE50605	GPL8971
GSE50727	GPL6987
GSE50727	GPL8887
GSE50727	GPL8888
GSE5442	GPL2616
GSE5442	GPL4056
GSE51237	GPL14965
GSE51589	GPL6984
GSE52173	GPL8887
GSE52352	GPL4091
GSE53042	GPL6801
GSE53790	GPL6801
GSE54183	GPL10123
GSE55150	GPL4091
GSE55150	GPL8736
GSE55150	GPL10123
GSE55181	GPL14965
GSE5784	GPL4242
GSE55832	GPL8887
GSE55852	GPL10123
GSE5927	GPL2005
GSE57943	GPL16131
GSE6099	GPL2013
GSE59239	GPL9777
GSE59902	GPL10123
GSE60218	GPL16131
GSE60720	GPL16131
GSE61237	GPL6801
GSE61578	GPL96
GSE61578	GPL570
GSE61578	GPL6801
GSE63601	GPL6801
GSE63891	GPL3718
GSE63891	GPL16131
GSE64083	GPL11157
GSE64241	GPL6801
GSE64731	GPL6984
GSE66422	GPL16131
GSE67841	GPL10123
GSE68258	GPL8882
GSE68999	GPL6801
GSE69028	GPL6801
GSE7239	GPL4939
GSE7599	GPL2879
GSE64732	GPL6984
GSE64732	GPL13135
GSE64732	GPL18224
GSE64732	GPL18636
GSE70770	GPL6801
GSE70770	GPL10558
GSE70770	GPL16104
GSE70770	GPL20641
GSE73180	GPL13829
GSE73639	GPL6801
GSE74573	GPL13135
GSE75314	GPL6801
GSE76390	GPL13135
GSE76390	GPL20641
GSE77138	GPL16131
GSE77138	GPL17586
GSE77662	GPL13829
GSE8721	GPL2641
GSE85035	GPL15793
GSE85035	GPL18602
GSE9015	GPL570
GSE9015	GPL4091
GSE9021	GPL4560
GSE87058	GPL8841
GSE87058	GPL15397
GSE87058	GPL16694
GSE87058	GPL18628
GSE9204	GPL5620
GSE9222	GPL3718
GSE9222	GPL3720
GSE9222	GPL3811
GSE9222	GPL3812
GSE9112	GPL3718
GSE9112	GPL3720
GSE9559	GPL6088
GSE9585	GPL2004
GSE9585	GPL2005
GSE9585	GPL3718
GSE9585	GPL3720
GSE9608	GPL5711
GSE10423	GPL6468
GSE10423	GPL6469
GSE10423	GPL6470
GSE10697	GPL2827
GSE7130	GPL2004
GSE7130	GPL2005
GSE11225	GPL2873
GSE11225	GPL6745
GSE11318	GPL570
GSE11318	GPL6400
GSE11948	GPL3718
GSE11948	GPL3720
GSE12650	GPL570
GSE12650	GPL4091
GSE12896	GPL3718
GSE12896	GPL3720
GSE13021	GPL3718
GSE13372	GPL6801
GSE14437	GPL2004
GSE14437	GPL2005
GSE14437	GPL3718
GSE14437	GPL3720
GSE14745	GPL8036
GSE14821	GPL8175
GSE14822	GPL8175
GSE15177	GPL8276
GSE15526	GPL3718
GSE15526	GPL3720
GSE15696	GPL2004
GSE15696	GPL3718
GSE15347	GPL96
GSE15347	GPL2004
GSE15347	GPL2005
GSE15347	GPL3718
GSE15347	GPL3720
GSE15842	GPL3720
GSE16602	GPL8581
GSE16610	GPL8581
GSE16611	GPL8581
GSE16597	GPL8690
GSE16663	GPL8720
GSE16904	GPL6983
GSE16930	GPL2879
GSE17181	GPL8841
GSE17461	GPL8971
GSE17534	GPL3720
GSE18187	GPL5114
GSE19612	GPL3718
GSE19612	GPL3720
GSE19612	GPL6480
GSE19612	GPL6848
GSE19612	GPL9128
GSE19647	GPL2005
GSE19647	GPL3718
GSE19714	GPL4091
GSE19523	GPL2004
GSE19523	GPL2005
GSE17616	GPL3514
GSE17616	GPL9115
GSE19920	GPL3718
GSE19920	GPL3720
GSE19932	GPL4091
GSE19932	GPL10004
GSE20353	GPL3718
GSE20975	GPL3718
GSE21097	GPL5677
GSE21097	GPL6985
GSE21097	GPL8887
GSE21123	GPL3720
GSE21530	GPL4091
GSE21661	GPL6801
GSE21780	GPL6801
GSE21986	GPL9075
GSE22279	GPL9708
GSE22284	GPL6980
GSE22284	GPL6987
GSE22461	GPL6801
GSE22577	GPL6804
GSE22577	GPL6947
GSE22635	GPL5477
GSE22789	GPL7394
GSE19177	GPL6106
GSE19177	GPL6986
GSE22839	GPL3720
GSE23005	GPL4091
GSE23358	GPL6801
GSE23587	GPL6801
GSE23587	GPL10800
GSE23587	GPL10801
GSE23587	GPL10802
GSE23587	GPL10803
GSE23587	GPL10804
GSE23644	GPL8841
GSE23813	GPL6434
GSE23813	GPL6982
GSE23817	GPL8887
GSE23823	GPL4091
GSE23831	GPL4093
GSE23831	GPL10722
GSE24446	GPL8736
GSE24690	GPL3718
GSE24804	GPL6985
GSE24804	GPL6986
GSE25103	GPL6801
GSE25411	GPL10123
GSE25839	GPL6801
GSE25864	GPL3718
GSE26404	GPL3718
GSE26715	GPL10123
GSE22874	GPL5175
GSE22874	GPL8490
GSE22874	GPL13135
GSE27910	GPL3720
GSE27965	GPL4091
GSE27965	GPL9777
GSE3106	GPL2043
GSE3106	GPL2735
GSE28030	GPL3718
GSE28458	GPL13392
GSE28469	GPL13346
GSE28906	GPL4093
GSE29365	GPL3718
GSE29503	GPL6853
GSE30182	GPL6801
GSE30777	GPL6801
GSE31174	GPL3718
GSE31241	GPL8693
GSE31260	GPL3718
GSE31451	GPL4091
GSE3551	GPL1282
GSE3551	GPL3042
GSE3551	GPL3043
GSE31272	GPL6801
GSE33428	GPL9128
GSE33483	GPL11358
GSE33489	GPL6987
GSE33489	GPL8887
GSE3642	GPL3091
GSE34140	GPL3718
GSE34197	GPL14965
